Percentage served,Time in ms
0,1009.978
1,2610.258
2,3660.896
3,5009.144
4,7058.315
5,8662.472
6,9775.007
7,11498.889
8,13042.964
9,14643.369
10,15964.509
11,20994.811
12,20996.316
13,20996.885
14,20997.406
15,20997.600
16,20997.850
17,20998.021
18,20998.116
19,20998.221
20,20998.412
21,20998.488
22,20998.564
23,20998.669
24,20998.747
25,20998.793
26,20998.889
27,20998.974
28,20999.061
29,20999.115
30,20999.186
31,20999.292
32,20999.366
33,20999.418
34,20999.492
35,20999.563
36,20999.635
37,20999.715
38,20999.771
39,20999.885
40,20999.964
41,21000.019
42,21000.087
43,21000.199
44,21000.261
45,21000.359
46,21000.435
47,21000.542
48,21000.661
49,21000.825
50,21000.979
51,21001.128
52,21001.340
53,21001.498
54,21001.860
55,21002.134
56,21002.573
57,21002.957
58,21003.199
59,21003.395
60,21003.623
61,21004.032
62,21004.472
63,21005.053
64,21007.224
65,21008.273
66,21009.062
67,21010.071
68,21010.737
69,21012.333
70,21013.109
71,21014.278
72,21015.503
73,21016.734
74,21018.265
75,21018.712
76,21019.186
77,21020.028
78,21021.874
79,21022.959
80,21024.690
81,21025.448
82,21026.411
83,21026.994
84,21027.722
85,21029.097
86,21034.175
87,21040.367
88,21049.133
89,21061.219
90,21063.527
91,21064.772
92,21066.038
93,21067.697
94,21072.104
95,21075.080
96,21076.719
97,21078.091
98,21080.507
99,21081.322
