Percentage served,Time in ms
0,802.565
1,2046.814
2,3120.072
3,3863.555
4,4706.231
5,5240.830
6,6344.342
7,7195.453
8,8796.253
9,9864.689
10,10529.476
11,20995.090
12,20996.539
13,20997.154
14,20997.377
15,20997.484
16,20997.635
17,20997.785
18,20997.882
19,20998.014
20,20998.141
21,20998.273
22,20998.369
23,20998.521
24,20998.585
25,20998.657
26,20998.735
27,20998.773
28,20998.844
29,20998.895
30,20998.950
31,20998.998
32,20999.024
33,20999.059
34,20999.089
35,20999.128
36,20999.153
37,20999.196
38,20999.260
39,20999.289
40,20999.325
41,20999.366
42,20999.393
43,20999.426
44,20999.460
45,20999.498
46,20999.517
47,20999.540
48,20999.587
49,20999.614
50,20999.638
51,20999.682
52,20999.706
53,20999.742
54,20999.787
55,20999.807
56,20999.841
57,20999.885
58,20999.913
59,20999.982
60,21000.018
61,21000.051
62,21000.074
63,21000.113
64,21000.154
65,21000.194
66,21000.226
67,21000.253
68,21000.288
69,21000.329
70,21000.358
71,21000.370
72,21000.407
73,21000.451
74,21000.497
75,21000.575
76,21000.641
77,21000.715
78,21000.758
79,21000.854
80,21000.908
81,21000.974
82,21001.090
83,21001.269
84,21001.602
85,21002.281
86,21003.087
87,21003.500
88,21003.928
89,21005.176
90,21006.739
91,21056.571
92,21067.137
93,21076.076
94,21079.819
95,21084.813
96,21095.715
97,21099.137
98,21106.962
99,21115.267
